"id","url","uploaded","type","duration","createdAt","updatedAt","userId"
118,"xuH7k8VnbzE","2019-06-09 23:23:53.467+02","youtube",282,"2019-06-09 23:23:53.467+02","2019-06-09 23:23:53.467+02",17
119,"MgljIWsJgPo","2019-06-09 23:24:54.422+02","youtube",235,"2019-06-09 23:24:54.422+02","2019-06-09 23:24:54.422+02",17
120,"MgljIWsJgPo","2019-06-09 23:25:45.458+02","youtube",235,"2019-06-09 23:25:45.458+02","2019-06-09 23:25:45.458+02",17
121,"MgljIWsJgPo","2019-06-09 23:26:43.276+02","youtube",235,"2019-06-09 23:26:43.276+02","2019-06-09 23:26:43.276+02",17
122,"Ditt8Pwfbyc","2019-06-09 23:29:04.133+02","youtube",276,"2019-06-09 23:29:04.133+02","2019-06-09 23:29:04.133+02",17
123,"B-5XxKlBBuk","2019-06-09 23:29:58.636+02","youtube",333,"2019-06-09 23:29:58.636+02","2019-06-09 23:29:58.636+02",17
124,"P2UedeBfm0U","2019-06-09 23:31:25.168+02","youtube",102,"2019-06-09 23:31:25.168+02","2019-06-09 23:31:25.168+02",17
125,"GEGKHD7ocQs","2019-06-09 23:31:58.832+02","youtube",376,"2019-06-09 23:31:58.832+02","2019-06-09 23:31:58.832+02",17
126,"E8PH4u3J9Rk","2019-06-09 23:32:52.111+02","youtube",345,"2019-06-09 23:32:52.112+02","2019-06-09 23:32:52.112+02",17
127,"ZR074pIJoFI","2019-06-09 23:33:22.746+02","youtube",273,"2019-06-09 23:33:22.746+02","2019-06-09 23:33:22.746+02",17
128,"IxBL--ibyJQ","2019-06-09 23:34:17.75+02","youtube",49,"2019-06-09 23:34:17.75+02","2019-06-09 23:34:17.75+02",17
129,"latMdm8-KHw","2019-06-09 23:35:03.14+02","youtube",313,"2019-06-09 23:35:03.14+02","2019-06-09 23:35:03.14+02",17
130,"5fVVHxJexy4","2019-06-09 23:35:44.22+02","youtube",272,"2019-06-09 23:35:44.22+02","2019-06-09 23:35:44.22+02",17
131,"5fVVHxJexy4","2019-06-09 23:35:55.626+02","youtube",272,"2019-06-09 23:35:55.626+02","2019-06-09 23:35:55.626+02",17
132,"RAtTEIkwLQ4","2019-06-09 23:36:57.836+02","youtube",227,"2019-06-09 23:36:57.836+02","2019-06-09 23:36:57.836+02",17
133,"tOkWB3v0Rh8","2019-06-09 23:37:40.176+02","youtube",208,"2019-06-09 23:37:40.177+02","2019-06-09 23:37:40.177+02",17
134,"tOkWB3v0Rh8","2019-06-09 23:38:04.744+02","youtube",208,"2019-06-09 23:38:04.744+02","2019-06-09 23:38:04.744+02",17
135,"rfCvl05Sqrg","2019-06-09 23:38:36.425+02","youtube",38,"2019-06-09 23:38:36.425+02","2019-06-09 23:38:36.425+02",17
136,"MjmVF7BS28I","2019-06-09 23:40:00.051+02","youtube",238,"2019-06-09 23:40:00.051+02","2019-06-09 23:40:00.051+02",17
137,"HhyNMPl0jvM","2019-06-09 23:42:40.681+02","youtube",411,"2019-06-09 23:42:40.681+02","2019-06-09 23:42:40.681+02",17
138,"MgljIWsJgPo","2019-06-09 23:43:05.89+02","youtube",235,"2019-06-09 23:43:05.89+02","2019-06-09 23:43:05.89+02",17
139,"MgljIWsJgPo","2019-06-09 23:43:20.813+02","youtube",235,"2019-06-09 23:43:20.813+02","2019-06-09 23:43:20.813+02",17
140,"OgbVCyB96-A","2019-06-09 23:44:06.38+02","youtube",291,"2019-06-09 23:44:06.38+02","2019-06-09 23:44:06.38+02",17
141,"XG19q_yYGsU","2019-06-10 11:10:53.657+02","youtube",232,"2019-06-10 11:10:53.657+02","2019-06-10 11:10:53.657+02",14
142,"CEpkkogDCdY","2019-06-10 11:15:13.397+02","youtube",258,"2019-06-10 11:15:13.397+02","2019-06-10 11:15:13.397+02",14
143,"n6USAqOnYyM","2019-06-10 23:37:33.811+02","youtube",1958,"2019-06-10 23:37:33.811+02","2019-06-10 23:37:33.811+02",17
144,"n6USAqOnYyM","2019-06-10 23:37:41.68+02","youtube",1958,"2019-06-10 23:37:41.68+02","2019-06-10 23:37:41.68+02",17
145,"4nFTMWdqFh0","2019-06-13 12:39:22.748+02","youtube",787,"2019-06-13 12:39:22.748+02","2019-06-13 12:39:22.748+02",3
146,"9YZVAMh8b0s","2019-06-13 12:44:12.756+02","youtube",162,"2019-06-13 12:44:12.756+02","2019-06-13 12:44:12.756+02",3
147,"eBCbdThIJNE","2019-06-13 13:09:47.71+02","youtube",1815,"2019-06-13 13:09:47.71+02","2019-06-13 13:09:47.71+02",3
148,"VkTRcTyDSyk","2019-06-13 13:24:25.103+02","youtube",135,"2019-06-13 13:24:25.103+02","2019-06-13 13:24:25.103+02",3
149,"FCH_q3IgC-Q","2019-06-13 13:38:34.978+02","youtube",849,"2019-06-13 13:38:34.979+02","2019-06-13 13:38:34.979+02",3
150,"f7MzFfuNOtY","2019-06-13 14:04:49.376+02","youtube",898,"2019-06-13 14:04:49.376+02","2019-06-13 14:04:49.376+02",3
151,"yFPnT-DCBVs","2019-06-13 14:08:22.505+02","youtube",131,"2019-06-13 14:08:22.505+02","2019-06-13 14:08:22.505+02",3
152,"PdmHH6KY_Qs","2019-06-13 14:16:31.691+02","youtube",1501,"2019-06-13 14:16:31.691+02","2019-06-13 14:16:31.691+02",3
153,"OTtmnUODoSE","2019-06-13 14:32:15.971+02","youtube",135,"2019-06-13 14:32:15.971+02","2019-06-13 14:32:15.971+02",3
154,"H_Sc1hmE6fY","2019-06-13 14:42:56.568+02","youtube",338,"2019-06-13 14:42:56.568+02","2019-06-13 14:42:56.568+02",3
155,"DFQrE91kZwk","2019-06-13 14:44:53.962+02","youtube",128,"2019-06-13 14:44:53.962+02","2019-06-13 14:44:53.962+02",3
156,"poPLSgbSO6k","2019-06-13 14:52:24.233+02","youtube",491,"2019-06-13 14:52:24.234+02","2019-06-13 14:52:24.234+02",3
157,"uU3kLBo_ruo","2019-06-14 10:24:53.292+02","youtube",669,"2019-06-14 10:24:53.292+02","2019-06-14 10:24:53.292+02",3
158,"LZXUR4z2P9w","2019-06-14 10:38:54.529+02","youtube",839,"2019-06-14 10:38:54.529+02","2019-06-14 10:38:54.529+02",3
159,"5Vx59VLc98E","2019-06-14 10:46:55.669+02","youtube",1111,"2019-06-14 10:46:55.669+02","2019-06-14 10:46:55.669+02",3
160,"LEepDbZqFmE","2019-06-14 11:05:08.135+02","youtube",327,"2019-06-14 11:05:08.135+02","2019-06-14 11:05:08.135+02",3
161,"UiriQHZMcs0","2019-06-14 11:24:11.847+02","youtube",3127,"2019-06-14 11:24:11.847+02","2019-06-14 11:24:11.847+02",3
162,"uof9cB9-MOo","2019-06-14 11:27:24.032+02","youtube",159,"2019-06-14 11:27:24.033+02","2019-06-14 11:27:24.033+02",3
163,"ZW_YCWLyv6A","2019-06-14 11:47:45.731+02","youtube",461,"2019-06-14 11:47:45.731+02","2019-06-14 11:47:45.731+02",3
164,"tHO1ebNxhVI","2019-06-14 15:58:19.236+02","youtube",1111,"2019-06-14 15:58:19.236+02","2019-06-14 15:58:19.236+02",3
165,"J_9ldMw--HI","2019-06-14 16:27:32.664+02","youtube",518,"2019-06-14 16:27:32.664+02","2019-06-14 16:27:32.664+02",3
166,"2DG3pMcNNlw","2019-06-18 21:03:28.855+02","youtube",314,"2019-06-18 21:03:28.855+02","2019-06-18 21:03:28.855+02",3
167,"CEQTo9usai4","2019-06-18 21:08:37.722+02","youtube",430,"2019-06-18 21:08:37.722+02","2019-06-18 21:08:37.722+02",3
168,"_8HqbPBRiS4","2019-06-18 21:13:26.635+02","youtube",375,"2019-06-18 21:13:26.635+02","2019-06-18 21:13:26.635+02",3
169,"Ag1hkv2Upww","2019-06-18 21:19:22.19+02","youtube",892,"2019-06-18 21:19:22.19+02","2019-06-18 21:19:22.19+02",3
170,"H_f9gpg4t6c","2019-06-18 21:22:14.36+02","youtube",406,"2019-06-18 21:22:14.36+02","2019-06-18 21:22:14.36+02",3
171,"ekNC0J3xx1w","2019-06-18 21:30:03.474+02","youtube",292,"2019-06-18 21:30:03.475+02","2019-06-18 21:30:03.475+02",3
173,"ML7wx_5n2z8","2019-06-24 13:29:58.964+02","youtube",391,"2019-06-24 13:29:58.966+02","2019-06-24 13:29:58.966+02",3
174,"CEQTo9usai4","2019-06-24 13:38:01.584+02","youtube",430,"2019-06-24 13:38:01.584+02","2019-06-24 13:38:01.584+02",3
175,"CEQTo9usai4","2019-06-24 13:51:10.956+02","youtube",430,"2019-06-24 13:51:10.956+02","2019-06-24 13:51:10.956+02",3
176,"CEQTo9usai4","2019-06-24 13:56:20.401+02","youtube",430,"2019-06-24 13:56:20.401+02","2019-06-24 13:56:20.401+02",3
177,"CEQTo9usai4","2019-06-24 13:57:52.599+02","youtube",430,"2019-06-24 13:57:52.599+02","2019-06-24 13:57:52.599+02",3
178,"ah8Bpg6ep1k","2019-06-24 14:06:03.995+02","youtube",251,"2019-06-24 14:06:03.995+02","2019-06-24 14:06:03.995+02",3
179,"-T2R2htAaqg","2019-06-24 14:13:04.038+02","youtube",170,"2019-06-24 14:13:04.038+02","2019-06-24 14:13:04.038+02",3
180,"EFBBQ4GocfI","2019-07-05 19:11:06.885+02","youtube",280,"2019-07-05 19:11:06.886+02","2019-07-05 19:11:06.886+02",3
181,"RCmozGZkrT0","2019-07-05 19:18:30.664+02","youtube",209,"2019-07-05 19:18:30.664+02","2019-07-05 19:18:30.664+02",3
182,"5iFP3PIRzvk","2019-07-05 19:39:24.577+02","youtube",206,"2019-07-05 19:39:24.577+02","2019-07-05 19:39:24.577+02",3
183,"G3YY4jlmiOw","2019-07-05 20:17:15.487+02","youtube",977,"2019-07-05 20:17:15.487+02","2019-07-05 20:17:15.487+02",3
184,"G3YY4jlmiOw","2019-07-05 20:37:22.554+02","youtube",977,"2019-07-05 20:37:22.554+02","2019-07-05 20:37:22.554+02",3
185,"1e_7hZOdsxo","2019-07-05 20:41:34.728+02","youtube",83,"2019-07-05 20:41:34.728+02","2019-07-05 20:41:34.728+02",3
186,"1e_7hZOdsxo","2019-07-05 20:47:59.815+02","youtube",83,"2019-07-05 20:47:59.815+02","2019-07-05 20:47:59.815+02",3
