"id","sourceIn","sourceOut","targetIn","targetOut","created","flavor","createdAt","updatedAt","nodeId","targetNodeId","userId"
17,370,370,0,320,"2019-06-04 19:51:09.489+02","contra","2019-06-04 19:51:09.489+02","2019-06-04 19:51:09.489+02",19,22,3
18,379,379,0,173,"2019-06-04 19:59:12.21+02","contra","2019-06-04 19:59:12.21+02","2019-06-04 19:59:12.21+02",19,23,3
19,382,382,0,363,"2019-06-04 20:17:30.768+02","pro","2019-06-04 20:17:30.768+02","2019-06-04 20:17:30.768+02",19,24,3
20,401,401,0,2546,"2019-06-04 20:22:46.461+02","factChecker","2019-06-04 20:22:46.461+02","2019-06-04 20:22:46.461+02",19,25,3
21,6,6,0,11,"2019-06-05 00:22:55.906+02","neutral","2019-06-05 00:22:55.906+02","2019-06-05 00:22:55.906+02",18,26,9
22,6,6,0,11,"2019-06-05 00:24:28.837+02","pro","2019-06-05 00:24:28.837+02","2019-06-05 00:24:28.837+02",18,27,9
23,7,7,0,10,"2019-06-05 00:25:42.09+02","neutral","2019-06-05 00:25:42.09+02","2019-06-05 00:25:42.09+02",18,28,9
24,8,8,0,9,"2019-06-05 00:33:44.334+02","neutral","2019-06-05 00:33:44.334+02","2019-06-05 00:33:44.334+02",18,29,9
25,9,9,0,9,"2019-06-05 00:36:19.404+02","science","2019-06-05 00:36:19.404+02","2019-06-05 00:36:19.404+02",18,30,9
26,11,11,0,8,"2019-06-05 00:37:43.877+02","joke","2019-06-05 00:37:43.878+02","2019-06-05 00:37:43.878+02",18,31,9
27,11,11,0,9,"2019-06-05 00:48:36.01+02","neutral","2019-06-05 00:48:36.01+02","2019-06-05 00:48:36.01+02",18,32,9
28,13,13,0,8,"2019-06-05 00:49:29.68+02","neutral","2019-06-05 00:49:29.68+02","2019-06-05 00:49:29.68+02",18,33,9
29,16,16,0,7,"2019-06-05 11:29:09.261+02","neutral","2019-06-05 11:29:09.261+02","2019-06-05 11:29:09.261+02",18,34,30
30,16,16,0,9,"2019-06-05 11:30:02.074+02","neutral","2019-06-05 11:30:02.074+02","2019-06-05 11:30:02.074+02",18,35,30
31,17,17,0,11,"2019-06-05 11:31:35.869+02","neutral","2019-06-05 11:31:35.869+02","2019-06-05 11:31:35.869+02",18,36,30
32,20,20,0,7,"2019-06-05 11:32:22.953+02","neutral","2019-06-05 11:32:22.953+02","2019-06-05 11:32:22.953+02",18,37,30
33,20,20,0,8,"2019-06-05 11:33:04.149+02","neutral","2019-06-05 11:33:04.149+02","2019-06-05 11:33:04.149+02",18,38,30
34,21,21,0,9,"2019-06-05 11:36:03.529+02","neutral","2019-06-05 11:36:03.529+02","2019-06-05 11:36:03.529+02",18,39,30
36,22,22,0,7,"2019-06-05 11:36:46.478+02","neutral","2019-06-05 11:36:46.478+02","2019-06-05 11:36:46.478+02",18,41,30
38,23,23,0,8,"2019-06-05 11:38:13.153+02","neutral","2019-06-05 11:38:13.153+02","2019-06-05 11:38:13.153+02",18,43,30
39,20,26,0,8,"2019-06-05 11:39:09.214+02","neutral","2019-06-05 11:39:09.214+02","2019-06-05 11:39:09.214+02",18,44,30
40,0,30,0,7,"2019-06-05 11:40:02.769+02","neutral","2019-06-05 11:40:02.769+02","2019-06-05 11:40:02.769+02",18,45,30
41,30,30,0,12,"2019-06-05 11:44:59.279+02","neutral","2019-06-05 11:44:59.28+02","2019-06-05 11:44:59.28+02",18,46,30
42,587,587,0,160,"2019-06-05 11:45:06.281+02","pro","2019-06-05 11:45:06.281+02","2019-06-05 11:45:06.281+02",19,47,3
